epoch,train_loss,test_psnr

1,0.05270130376109765,22.44589563369751
2,0.048218171812948726,23.733103523254396
3,0.042850079199387915,24.715253944396974
4,0.039315805253351016,25.1601607131958
5,0.03764650738088503,25.403728561401365
6,0.036313577373733835,24.934296226501466
7,0.0351358579551535,25.71896312713623
8,0.034454134787831985,25.95699100494385
9,0.03414188776697431,25.441226539611815
10,0.033475246570472204,26.322046813964842
11,0.032626687533976066,26.159113063812256
12,0.03233367583359636,26.594661598205565
13,0.03186940121375734,25.682858810424804
14,0.03149530242818097,26.640500640869142
15,0.03102253601309799,26.060834312438963
16,0.031029388968433654,26.96599105834961
17,0.03067706787116116,26.706427154541014
18,0.030287574319435018,27.051405792236327
19,0.029985990045769583,26.968240242004395
20,0.029787530561997778,26.97565559387207
21,0.029469904333707834,26.6329407119751
22,0.029491986884691176,26.955046730041502
23,0.029182015984718288,26.906786651611327
24,0.029057843821744124,27.24335922241211
25,0.028766751569207934,27.308487548828126
26,0.028665080880302757,27.350943984985353
27,0.028324215201927083,27.42655258178711
28,0.028398369733421577,27.41078170776367
29,0.028141243284834284,27.427550621032715
30,0.02792130458523475,27.086581649780275
31,0.027875919954052992,26.885369720458986
32,0.027702262246803867,27.636710624694825
33,0.027546248493183937,27.347344512939454
34,0.027377318829031928,27.340691261291504
35,0.027349375375945652,27.001012878417967
36,0.02728829682671598,27.434944076538088
37,0.02702979847167929,27.54808910369873
38,0.027063194829970598,27.472452392578123
39,0.027100263353703278,26.65248390197754
40,0.026899997414577576,27.47946113586426
41,0.02662346529774368,27.70634208679199
42,0.02648434666029754,27.662809753417967
43,0.026440988409643373,27.304000816345216
44,0.026352734418940687,27.740494041442872
45,0.026063747368309468,27.523445167541503
46,0.02614739792288414,27.606381874084473
47,0.02594043334280806,27.344777870178223
48,0.026011570818899644,27.71144760131836
49,0.025606714609034714,27.801224555969238
50,0.025771262694505,27.634699935913087
