epoch,train_loss,test_psnr
1,0.06224719281998877,21.712105045318605
2,0.05268370884226302,21.793293056488036
3,0.052374084115368334,22.091427402496336
4,0.05072274661761046,22.856363620758056
5,0.050079770938638496,22.152521381378175
6,0.04534259578036038,23.27360013961792
7,0.04148137038963149,24.736441802978515
8,0.03971921937972194,24.278727054595947
9,0.03942234636401269,24.78940216064453
10,0.03698085746356063,25.482824325561523
11,0.03605234945200016,24.88910177230835
12,0.03651445157146046,26.099887237548828
13,0.03514267718808959,25.904906539916993
14,0.03421120606929404,26.45007011413574
15,0.03491097809782273,26.02536365509033
16,0.03301191405736675,26.412172927856446
17,0.03321643740278686,26.646494140625
18,0.032698121445940476,26.491991920471193
19,0.03257318174629384,26.86205020904541
20,0.03167463419427777,26.389806785583495
21,0.03165588675229722,26.719766426086426
22,0.031154877254774817,26.82575485229492
23,0.0305545797904408,27.325641403198244
24,0.030349915599301742,27.081694355010985
25,0.03021643971209857,27.34815860748291
26,0.029892440350591683,27.004184074401856
27,0.02967164659794746,27.553628044128416
28,0.02961261416059483,27.279187660217286
29,0.029575329270397983,27.509934844970704
30,0.028896547181128097,27.31535976409912
31,0.02889237014626369,27.359524116516113
32,0.028822651635784614,27.462998542785645
33,0.028456279823818587,27.668267707824707
34,0.02790660208919769,27.579162940979003
35,0.027770363729262986,28.037470741271974
36,0.027855195395450175,27.59173282623291
37,0.027202104721147525,27.61387390136719
38,0.027129728120429433,27.778829231262208
39,0.02730712382044969,27.817175369262696
40,0.02734080563253323,27.74982048034668
41,0.026754785360973823,27.298305263519286
42,0.026374312684279883,27.824398193359375
43,0.026152727470340156,28.037949028015138
44,0.026218192931618756,28.2169437789917
45,0.025545415819087862,27.914033699035645
46,0.025950637826618134,28.15292984008789
47,0.025365688614972192,27.757201461791993
48,0.025723591903684936,27.921759567260743
49,0.02578178838872751,28.213967666625976
50,0.025296529963924178,28.156349067687987
