epoch,train_loss,test_psnr

1,0.07855680729386472,21.495500898361207
2,0.07646018435236619,21.636177864074707
3,0.07611093002977026,21.562818393707275
4,0.07584139835018622,21.627981090545653
5,0.07437320775263889,23.43465362548828
6,0.06566130357861745,24.24461275100708
7,0.06133568473868497,24.578556118011473
8,0.05721309908555941,25.0897216796875
9,0.054350499177047054,24.96830467224121
10,0.051726095973312174,26.063676948547364
11,0.05114193505009091,26.041323356628418
12,0.04934072567454536,26.505602416992186
13,0.04806729923834592,26.55286403656006
14,0.04707093878928926,26.89681739807129
15,0.04632457857066234,26.922599143981934
16,0.045869297110705774,26.264708557128905
17,0.045161479524559844,26.673455810546876
18,0.0443460042358238,27.017498626708985
19,0.04344411629886002,26.743342094421386
20,0.04346079151270054,26.62689311981201
21,0.0426640988401927,27.122041702270508
22,0.04231318847024849,27.219274520874023
23,0.04150027218682004,27.164770736694337
24,0.041939422877739135,26.366595458984374
25,0.040686345060741945,26.550626983642577
26,0.04076334652791912,27.590252075195313
27,0.03993722338215253,27.726641578674318
28,0.03941904365336487,27.170265312194825
29,0.039247065782547,27.52930725097656
30,0.03912796043992722,27.3031449508667
31,0.03858207277387041,27.406416206359864
32,0.038189762608350004,27.48933208465576
33,0.03739120747483275,28.01156852722168
34,0.03781942198116743,27.322814979553222
35,0.03727023520227168,27.738244400024413
36,0.03658614438664551,27.794575576782226
37,0.03648290121679977,27.798554344177248
38,0.035946248906590185,27.791317024230956
39,0.035638427630973406,27.330599861145018
40,0.03557644586146105,27.772274131774903
41,0.03536767992031665,27.86911682128906
42,0.03482949639539528,27.942373390197755
43,0.034663988461455915,27.47243709564209
44,0.03404932977638771,27.072072944641114
45,0.03415685397760496,27.75843437194824
46,0.03344377351237794,28.025327301025392
47,0.03296611975779325,27.87527542114258
48,0.033080282245723694,27.88209186553955
49,0.032704390436694195,28.069987564086915
50,0.03227312015829884,27.973942642211913
