epoch,train_loss,test_psnr
1,0.08870238009061197,21.585918502807615
2,0.07792674206168933,21.626468629837035
3,0.07622162744176252,21.664303846359253
4,0.07467011283700684,22.11650842666626
5,0.07080037641151322,23.34052890777588
6,0.06912627309107508,23.434616012573244
7,0.06255345835488559,24.453665962219237
8,0.05870635296880292,23.838998432159425
9,0.05717845056418457,24.85711929321289
10,0.05567621595505979,25.53068609237671
11,0.05258610295025568,25.05633987426758
12,0.05217596835424918,25.785136013031007
13,0.05161649976704737,25.922027645111083
14,0.05086569348527225,26.354742279052733
15,0.049288689523595365,25.486000099182128
16,0.04874795503886027,26.700280284881593
17,0.048502299410535354,26.27793598175049
18,0.04845884363007636,26.62498378753662
19,0.04770743815022956,26.401402740478517
20,0.04685634529012691,26.73897491455078
21,0.046504180680096374,27.11641119003296
22,0.04547154737686023,27.139453773498534
23,0.04673331267706795,27.11585865020752
24,0.04559013379928957,27.28806365966797
25,0.04482135513067925,27.26346248626709
26,0.04365738310599735,27.028105392456055
27,0.043619524567129496,26.660342197418213
28,0.04352744105679227,27.310881576538087
29,0.04320673110537203,27.42997169494629
30,0.04282471182766749,27.507653274536132
31,0.042103941619622845,27.1894739151001
32,0.042554453681063746,27.61706958770752
33,0.04161849948701523,27.530599250793458
34,0.0424027749808229,27.580077590942384
35,0.04131816957896653,27.384239616394044
36,0.040918181795527725,27.73120105743408
37,0.0410016262372637,27.644026908874512
38,0.041064295535305155,27.651750679016114
39,0.03998687430621327,28.344739379882814
40,0.039612235947593534,28.064742889404297
41,0.03938419293229797,27.689084968566895
42,0.03900362775721251,28.008690605163576
43,0.03899451331748935,27.812422218322755
44,0.03878779701548611,27.885530014038086
45,0.038791356289568056,27.748055458068848
46,0.038356200611296715,28.248070373535157
47,0.03788149213779562,28.1092440032959
48,0.03814682554269472,27.09894847869873
49,0.03805789401039424,28.326612281799317
50,0.03728379672499437,28.20135639190674
